,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Europe,Austria,Personal Care,Offline,C,2014-10-08 00:00:00,499606978,8/22/2014,3662,81.73,56.67,299295.26,207525.54,91769.72
1,Asia,Thailand,Cereal,Online,M,2011-10-03 00:00:00,152817094,3/16/2011,829,205.7,117.11,170525.3,97084.19,73441.11
2,Europe,Netherlands,Beverages,Online,M,2014-06-10 00:00:00,250712573,2014-11-11 00:00:00,277,47.45,31.79,13143.65,8805.83,4337.82
3,Sub-Saharan Africa,Zimbabwe,Clothes,Online,M,6/23/2010,241779744,2010-11-07 00:00:00,6854,109.28,35.84,749005.12,245647.36,503357.76
4,Central America and the Caribbean,Belize,Cereal,Offline,L,1/13/2011,544817435,1/22/2011,2441,205.7,117.11,502113.7,285865.51,216248.19
5,Europe,Georgia,Vegetables,Offline,L,1/23/2015,298936975,2/19/2015,949,154.06,90.93,146202.94,86292.57,59910.37
6,Central America and the Caribbean,Dominica,Beverages,Online,L,11/24/2010,513562190,12/22/2010,3319,47.45,31.79,157486.55,105511.01,51975.54
7,Europe,Slovakia,Beverages,Online,L,8/27/2010,918429410,9/28/2010,2527,47.45,31.79,119906.15,80333.33,39572.82
8,Sub-Saharan Africa,Benin,Snacks,Online,M,2/28/2016,413587462,4/17/2016,8576,152.58,97.44,1308526.08,835645.44,472880.64
9,Central America and the Caribbean,Jamaica,Meat,Online,H,2/25/2015,219397675,4/15/2015,3503,421.89,364.69,1477880.67,1277509.07,200371.6
10,Middle East and North Africa,Syria,Cosmetics,Offline,L,5/17/2015,726533877,6/27/2015,6374,437.2,263.33,2786712.8,1678465.42,1108247.38
11,Europe,Bulgaria,Personal Care,Offline,C,6/24/2010,145982396,6/24/2010,8290,81.73,56.67,677541.7,469794.3,207747.4
12,Australia and Oceania,Tonga,Beverages,Offline,C,2/16/2014,359042060,3/26/2014,7379,47.45,31.79,350133.55,234578.41,115555.14
13,Europe,Finland,Clothes,Online,L,9/30/2010,167324197,10/27/2010,3803,109.28,35.84,415591.84,136299.52,279292.32
14,Sub-Saharan Africa,Namibia,Beverages,Online,H,2012-03-05 00:00:00,242752635,2012-05-06 00:00:00,4754,47.45,31.79,225577.3,151129.66,74447.64
15,Sub-Saharan Africa,Kenya,Baby Food,Offline,H,10/24/2016,877563703,11/23/2016,9456,255.28,159.42,2413927.68,1507475.52,906452.16
16,Australia and Oceania,Kiribati,Household,Offline,C,10/21/2011,634306228,11/24/2011,4163,668.27,502.54,2782008.01,2092074.02,689933.99
17,Australia and Oceania,Australia,Fruits,Online,M,4/13/2016,395841538,2016-05-05 00:00:00,7163,9.33,6.92,66830.79,49567.96,17262.83
18,Sub-Saharan Africa,Eritrea,Office Supplies,Online,L,3/23/2016,215343463,2016-02-04 00:00:00,3771,651.21,524.96,2455712.91,1979624.16,476088.75
19,Europe,Bulgaria,Fruits,Offline,L,10/20/2013,666298329,11/18/2013,1337,9.33,6.92,12474.21,9252.04,3222.17
